19:49:25.593 [main] INFO  api.tests.Usertest - ****creating user********
19:49:33.566 [main] INFO  api.tests.Usertest - ****creating created********
19:49:33.633 [main] INFO  api.tests.Usertest - ****getting user********
19:49:35.955 [main] INFO  api.tests.Usertest - ****got user********
19:49:35.963 [main] INFO  api.tests.Usertest - ****updating user********
19:49:38.881 [main] INFO  api.tests.Usertest - ****updated user********
19:49:38.892 [main] INFO  api.tests.Usertest - ****deleting user********
19:49:40.211 [main] INFO  api.tests.Usertest - ****deleted user********
20:14:50.494 [main] INFO  api.tests.Usertest - ****creating user********
20:14:55.755 [main] INFO  api.tests.Usertest - ****creating created********
20:14:55.795 [main] INFO  api.tests.Usertest - ****getting user********
20:14:57.213 [main] INFO  api.tests.Usertest - ****got user********
20:14:57.220 [main] INFO  api.tests.Usertest - ****updating user********
20:14:59.856 [main] INFO  api.tests.Usertest - ****updated user********
20:14:59.860 [main] INFO  api.tests.Usertest - ****deleting user********
20:15:01.136 [main] INFO  api.tests.Usertest - ****deleted user********
20:17:57.943 [main] INFO  api.tests.Usertest2 - ****creating user********
20:18:03.702 [main] INFO  api.tests.Usertest2 - ****creating created********
20:18:03.741 [main] INFO  api.tests.Usertest2 - ****getting user********
20:18:05.515 [main] INFO  api.tests.Usertest2 - ****got user********
20:18:05.520 [main] INFO  api.tests.Usertest2 - ****updating user********
20:18:09.061 [main] INFO  api.tests.Usertest2 - ****updated user********
20:18:09.066 [main] INFO  api.tests.Usertest2 - ****deleting user********
20:18:10.405 [main] INFO  api.tests.Usertest2 - ****deleted user********
21:28:58.866 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:59.036 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:59.043 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:59.047 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:59.194 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:59.208 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:59.211 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:59.370 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:59.375 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:59.379 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:59.513 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:59.516 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:59.519 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:59.631 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:59.634 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:59.638 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:59.794 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:59.798 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:59.801 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:29:00.005 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:29:00.011 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:29:00.015 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:29:00.171 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:29:00.176 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:29:00.179 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:29:00.304 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
